Index;Quantity;Part Number;Manufacturer Part Number;Description;Customer Reference;Available;Backorder;Unit Price;Extended Price EUR
1;1;LM2577T-ADJ/NOPB-ND;LM2577T-ADJ/NOPB;IC REG MULT CONFG ADJ 3A TO220-5;;1;0;5,54;5,54
2;2;952-1905-ND;M20-7822046;CONN RCPT 20POS 0.1 TIN PCB;;2;0;1,72;3,44
3;2;277-1578-ND;1935174;TERM BLK 3POS SIDE ENTRY 5MM PCB;;2;0;0,54;1,08
4;3;2057-PH1-05-UA-ND;PH1-05-UA;CONN HEADER VERT 5POS 2.54MM;;3;0;0,09;0,27
5;3;2057-PH1-03-UA-ND;PH1-03-UA;CONN HEADER VERT 3POS 2.54MM;;3;0;0,09;0,27
6;1;2057-RS1-06-G-ND;RS1-06-G;RECEPTACLE STRIP 6P 2.54MM PITCH;;1;0;0,43;0,43
7;2;BPC-817(BBIN)-ND;BPC-817 ( B BIN );SENSOR PHOTO 4DIP;;2;0;0,51;1,02
8;1;CF14JT1K00CT-ND;CF14JT1K00;RES 1K OHM 1/4W 5% AXIAL;;1;0;0,09;0,09
9;2;CF14JT470RCT-ND;CF14JT470R;RES 470 OHM 1/4W 5% AXIAL;;2;0;0,09;0,18
10;1;CF14JT2K20CT-ND;CF14JT2K20;RES 2.2K OHM 1/4W 5% AXIAL;;1;0;0,09;0,09
11;2;CF14JT10K0CT-ND;CF14JT10K0;RES 10K OHM 1/4W 5% AXIAL;;2;0;0,09;0,18
12;1;493-6095-1-ND;UVR1C101MDD1TA;CAP ALUM 100UF 20% 16V RADIAL;;1;0;0,23;0,23
13;1;493-16778-ND;UHD1C681MPD6;CAP ALUM 680UF 20% 16V RADIAL;;1;0;0,43;0,43
14;1;445-173588-1-ND;FG28X7R1H104KNT06;CAP CER 0.1UF 50V X7R RADIAL;;1;0;0,24;0,24
15;1;445-173597-1-ND;FG28X7R1H334KRT06;CAP CER 0.33UF 50V X7R RADIAL;;1;0;0,29;0,29
16;1;399-20012-ND;SBCP-47HY101B;FIXED INDUCTOR 100UH 0.5A 584MOH;;1;0;0,95;0,95
17;1;497-11370-1-ND;1N5822;DIODE SCHOTTKY 40V 3A DO201AD;;1;0;0,33;0,33
18;1;1125-1184-ND;MT2118-G-A;LED GREEN DIFFUSED 5MM ROUND T/H;;1;0;0,3;0,3
19;1;1125-1188-ND;MT4118-HR-A;LED RED DIFFUSED 5MM ROUND T/H;;1;0;0,32;0,32
20;1;732-5958-1-ND;6,14105E+11;CONN RCPT USB2.0 MICRO B VERT;;1;0;1,8;1,8
21;1;CF14JT3K90CT-ND;CF14JT3K90;RES 3.9K OHM 1/4W 5% AXIAL;;1;0;0,09;0,09
22;1;CF14JT33K0CT-ND;CF14JT33K0;RES 33K OHM 1/4W 5% AXIAL;;1;0;0,09;0,09
